year,name,trade_count
1999,Troides amphrysus,2
1999,Troides hypolitus,2
1999,Turbinicarpus valdezianus,2
1999,Turtur afer,2
1999,Turtur tympanistria,2
1999,Ursus spp.,2
1999,Vanilla planifolia,2
1999,Accipiter cirrhocephalus,1
1999,Acipenser baerii,1
1999,Acipenser fulvescens,1
1999,Acipenser oxyrinchus,1
1999,Acipenser spp.,1
1999,Acrochordus javanicus,1
1999,Acropora formosa,1
1999,Acropora humilis,1
1999,Adelphobates quinquevittatus,1
1999,Aerangis arachnopus,1
1999,Aerangis decaryana,1
1999,Aerangis fastuosa,1
1999,Aerangis fuscata,1
1999,Aerangis kirkii,1
1999,Aerangis macrocentra,1
1999,Aerangis spiculata,1
1999,Aerangis spp.,1
1999,Aerangis stylosa,1
1999,Aeranthes grandiflora,1
1999,Agapornis personatus,1
1999,Agapornis pullarius,1
1999,Agapornis roseicollis,1
1999,Agave spp.,1
1999,Alisterus scapularis,1
1999,Alopochen aegyptiaca,1
1999,Alsophila decrescens,1
1999,Alsophila viguieri,1
1999,Angraecum eburneum,1
1999,Angraecum obesum,1
1999,Angraecum pseudofilicornu,1
1999,Angraecum sesquipedale,1
1999,Angraecum spp.,1
1999,Angraecum viguieri,1
1999,Anguloa uniflora,1
1999,Antaresia childreni,1
1999,Antipatharia spp.,1
1999,Aquila chrysaetos,1
1999,Aratinga aurea,1
1999,Aratinga auricapillus,1
1999,Aratinga finschi,1
1999,Aratinga nana,1
1999,Aratinga pertinax,1
1999,Arctocephalus pusillus,1
1999,Ardeotis kori,1
1999,Ariocarpus agavoides,1
1999,Ariocarpus kotschoubeyanus,1
1999,Arpophyllum spicatum,1
1999,Ascocentrum miniatum,1
1999,Aspidites ramsayi,1
1999,Astrophytum myriostigma,1
1999,Australogyra spp.,1
1999,Balaenoptera edeni,1
1999,Balaenoptera musculus,1
1999,Barbosella spp.,1
1999,Bletilla striata,1
1999,Boidae spp.,1
1999,Bothrochilus boa,1
1999,Brachypelma albopilosum,1
1999,Bradypodion spp.,1
1999,Brassavola nodosa,1
1999,Brassia arcuigera,1
1999,Brassia lanceana,1
1999,Brassia spp.,1
1999,Brassia verrucosa,1
1999,Brotogeris chrysoptera,1
1999,Brotogeris jugularis,1
1999,Brotogeris pyrrhoptera,1
1999,Brotogeris versicolurus,1
1999,Broughtonia sanguinea,1
1999,Bulbophyllum corolliferum,1
1999,Bulbophyllum falcatum,1
1999,Bulbophyllum grandifolium,1
1999,Bulbophyllum spp.,1
1999,Buteo jamaicensis,1
1999,Caiman spp.,1
1999,Calanthe alismaefolia,1
1999,Calanthe spp.,1
1999,Calanthe sylvatica,1
1999,Capra falconeri,1
1999,Catasetum atratum,1
1999,Catasetum fimbriatum,1
1999,Catasetum galeritum,1
1999,Catasetum saccatum,1
1999,Catasetum vinaceum,1
1999,Cattleya aurantiaca,1
1999,Cattleya eldorado,1
1999,Cattleya forbesii,1
1999,Cattleya guttata,1
1999,Cattleya harrisoniana,1
1999,Cattleya intermedia,1
1999,Cattleya lawrenceana,1
1999,Cattleya leopoldii,1
1999,Cattleya loddigesii,1
1999,Cattleya maxima,1
1999,Cattleya mossiae,1
1999,Cattleya skinneri,1
1999,Cattleya warscewiczii,1
1999,Cebus apella,1
1999,Cephalophus silvicultor,1
1999,Chamaeleo chamaeleon,1
1999,Cheirogaleus medius,1
1999,Chlorostilbon lucidus,1
1999,Cipocereus spp.,1
1999,Cirrhipathes anguina,1
1999,Cischweinfia rostrata,1
1999,Cleistocactus strausii,1
1999,Clowesia rosea,1
1999,Cochleanthes amazonica,1
1999,Cochleanthes marginata,1
1999,Coeliopsis hyacinthosma,1
1999,Coelogyne nitida,1
1999,Cordylus spp.,1
1999,Corucia zebrata,1
1999,Coryanthes spp.,1
1999,Coryphantha octacantha,1
1999,Coryphantha spp.,1
1999,Crinifer piscator,1
1999,Crocodylus siamensis,1
1999,Crocodylus spp.,1
1999,Cuniculus paca,1
1999,Cycnoches spp.,1
1999,Cycnoches ventricosum,1
1999,Cygnus melancoryphus,1
1999,Cymbidiella spp.,1
1999,Cymbidium dayanum,1
1999,Cymbidium tigrinum,1
1999,Cynarina lacrymalis,1
1999,Cynarina spp.,1
1999,Cypripedium reginae,1
1999,Cypripedium spp.,1
1999,Cyrtorchis arcuata,1
1999,Cyrtorchis aschersonii,1
1999,Dalbergia nigra,1
1999,Dendrobium amphigenyum,1
1999,Dendrobium atroviolaceum,1
1999,Dendrobium cruttwellii,1
1999,Dendrobium farmeri,1
1999,Dendrobium harveyanum,1
1999,Dendrobium hasseltii,1
1999,Dendrobium lawesii,1
1999,Dendrobium lineale,1
1999,Dendrobium moniliforme,1
1999,Dendrobium prasinum,1
1999,Dendrobium secundum,1
1999,Dendrobium vexillarius,1
1999,Dichaea spp.,1
1999,Disa hybrid,1
1999,Disa uniflora,1
1999,Discocactus horstii,1
1999,Disocactus ackermannii,1
1999,Distichopora spp.,1
1999,Diuris spp.,1
1999,Dracula chimaera,1
1999,Dracula cochliops,1
1999,Dracula inaequalis,1
1999,Dracula posadarum,1
1999,Dracula severa,1
1999,Dracula spp.,1
1999,Dracula vespertilio,1
1999,Dracula vinacea,1
1999,Echinocactus grusonii,1
1999,Echinocereus pectinatus,1
1999,Eclectus roratus,1
1999,Elleanthus spp.,1
1999,Encephalartos lehmannii,1
1999,Encephalartos longifolius,1
1999,Encyclia baculus,1
1999,Encyclia ghiesbreghtiana,1
1999,Encyclia megalantha,1
1999,Encyclia michuacana,1
1999,Encyclia osmantha,1
1999,Encyclia prismatocarpa,1
1999,Encyclia pterocarpa,1
1999,Encyclia subulatifolia,1
1999,Encyclia tampensis,1
1999,Eos rubra,1
1999,Epicrates spp.,1
1999,Epidendrum secundum,1
1999,Euphorbia ankarensis,1
1999,Euphorbia francoisii,1
1999,Euphorbia guillauminiana,1
1999,Euphorbia leucodendron,1
1999,Falco biarmicus,1
1999,Falco peregrinus,1
1999,Falco spp.,1
1999,Felis spp.,1
1999,Ferocactus flavovirens,1
1999,Ferocactus glaucescens,1
1999,Ferocactus histrix,1
1999,Forpus passerinus,1
1999,Furcifer verrucosus,1
1999,Galanthus elwesii,1
1999,Galaxea astreata,1
1999,Galeandra spp.,1
1999,Gazella dorcas,1
1999,Gongora armeniaca,1
1999,Gongora chocoensis,1
1999,Gongora fulva,1
1999,Gongora histrionica,1
1999,Gongora leucochila,1
1999,Gongora scaphephorus,1
1999,Gongora spp.,1
1999,Gongora unicolor,1
1999,Goniastrea palauensis,1
1999,Goniopora columna,1
1999,Goniopora minor,1
1999,Gracula religiosa,1
1999,Grammangis ellisii,1
1999,Grammatophyllum speciosum,1
1999,Gymnoris dentata,1
1999,Gyps coprotheres,1
1999,Gyps rueppellii,1
1999,Haliaeetus leucocephalus,1
1999,Hexisea spp.,1
1999,Holcoglossum quasipinifolium,1
1999,Houlletia odoratissima,1
1999,Hyaena brunnea,1
1999,Hydnophora exesa,1
1999,Hydnophora rigida,1
1999,Iguana spp.,1
1999,Isochilus spp.,1
1999,Jumellea maxillarioides,1
1999,Kefersteinia graminea,1
1999,Kinixys erosa,1
1999,Laelia briegeri,1
1999,Laelia fidelensis,1
1999,Laelia grandis,1
1999,Laelia itambana,1
1999,Laelia kettieana,1
1999,Laelia lundii,1
1999,Laelia perrinii,1
1999,Laelia praestans,1
1999,Laelia purpurata,1
1999,Laelia sincorana,1
1999,Lepanthes ciliisepala,1
1999,Lepilemur edwardsi,1
1999,Lepilemur spp.,1
1999,Leptoptilos crumeniferus,1
1999,Liparis viridiflora,1
1999,Lobophyllia corymbosa,1
1999,Loxocemus bicolor,1
1999,Lutra spp.,1
1999,Lycaste spp.,1
1999,Lynx spp.,1
1999,Mammillaria elongata,1
1999,Mammillaria hahniana,1
1999,Mammillaria pectinifera,1
1999,Manis spp.,1
1999,Manis tricuspis,1
1999,Masdevallia citrinella,1
1999,Masdevallia cyclotega,1
1999,Masdevallia davisii,1
1999,Masdevallia decumana,1
1999,Masdevallia excelsior,1
1999,Masdevallia glandulosa,1
1999,Masdevallia ionocharis,1
1999,Masdevallia mejiana,1
1999,Masdevallia murex,1
1999,Masdevallia persicina,1
1999,Masdevallia porphyrea,1
1999,Masdevallia rosea,1
1999,Masdevallia roseola,1
1999,Masdevallia rubiginosa,1
1999,Masdevallia saltatrix,1
1999,Masdevallia selenites,1
1999,Masdevallia triangularis,1
1999,Masdevallia wubbenii,1
1999,Masdevallia wurdackii,1
1999,Maxillaria camaridii,1
1999,Mellivora capensis,1
1999,Mesoplodon densirostris,1
1999,Mexicoa ghiesbrechtiana,1
1999,Microcebus spp.,1
1999,Microcoelia gilpinae,1
1999,Microterangis spp.,1
1999,Miltoniopsis roezlii,1
1999,Mirounga leonina,1
1999,Montastrea valenciennesi,1
1999,Montipora foveolata,1
1999,Mormodes andreettae,1
1999,Mormolyca ringens,1
1999,Musophaga violacea,1
1999,Mustela nigripes,1
1999,Myrmecophila grandiflora,1
1999,Naja naja,1
1999,Naja sputatrix,1
1999,Nandayus nenday,1
1999,Nasua spp.,1
1999,Neobathiea spp.,1
1999,Neoraimondia herzogiana,1
1999,Nepenthes ampullaria,1
1999,Northiella haematogaster,1
1999,Nycticebus coucang,1
1999,Oeoniella polystachys,1
1999,Oerstedella centradenia,1
1999,Oncidium fuscatum,1
1999,Oncidium hastatum,1
1999,Oncidium leucochilum,1
1999,Oncidium maculatum,1
1999,Opuntia cochenillifera,1
1999,Ornithocephalus spp.,1
1999,Ornithoptera croesus,1
1999,Ornithoptera meridionalis,1
1999,Ornithoptera spp.,1
1999,Ortegocactus spp.,1
1999,Otolemur crassicaudatus,1
1999,Otus rutilus,1
1999,Otus scops,1
1999,Ovis ammon nigrimontana,1
1999,Pachypodium brevicaule,1
1999,Pachypodium geayi,1
1999,Pachypodium rosulatum,1
1999,Pachypodium rutenbergianum,1
1999,Pachyseris rugosa,1
1999,Panthera tigris,1
1999,Paphinia herrerae,1
1999,Paphinia spp.,1
1999,Paphiopedilum adductum,1
1999,Paphiopedilum bellatulum,1
1999,Paphiopedilum glaucophyllum,1
1999,Paphiopedilum gratrixianum,1
1999,Paphiopedilum haynaldianum,1
1999,Paphiopedilum javanicum,1
1999,Paphiopedilum kolopakingii,1
1999,Paphiopedilum lawrenceanum,1
1999,Paphiopedilum micranthum,1
1999,Paphiopedilum urbanianum,1
1999,Paphiopedilum wardii,1
1999,Papio cynocephalus,1
1999,Parabuteo unicinctus,1
1999,Paraphalaenopsis serpentilingua,1
1999,Paroaria capitata,1
1999,Paroaria coronata,1
1999,Pecari tajacu,1
1999,Pectinia paeonia,1
1999,Pelecyphora aselliformis,1
1999,Phaius tankervilleae,1
1999,Phalaenopsis wilsonii,1
1999,Phelsuma laticauda,1
1999,Philantomba monticola,1
1999,Phocoena phocoena,1
1999,Phragmipedium spp.,1
1999,Physogyra spp.,1
1999,Platycercus eximius,1
1999,Platycercus icterotis,1
1999,Platygyra daedalea,1
1999,Plectropterus gambensis,1
1999,Pleione grandiflora,1
1999,Plerogyra simplex,1
1999,Plerogyra sinuosa,1
1999,Pleurothallis setosa,1
1999,Pleurothallis tripterantha,1
1999,Ploceus superciliosus,1
1999,Pocillopora damicornis,1
1999,Pocillopora verrucosa,1
1999,Podocnemis erythrocephala,1
1999,Podocnemis unifilis,1
1999,Poicephalus meyeri,1
1999,Polemaetus bellicosus,1
1999,Polycycnis spp.,1
1999,Polyphyllia talpina,1
1999,Polytelis anthopeplus,1
1999,Ponera striata,1
1999,Porites lutea,1
1999,Porites nigrescens,1
1999,Potos flavus,1
1999,Prescottia oligantha,1
1999,Primates spp.,1
1999,Probosciger aterrimus,1
1999,Promenaea stapelioides,1
1999,Psephotus haematonotus,1
1999,Pyrrhura egregia,1
1999,Pyrrhura lepida,1
1999,Python curtus,1
1999,Python molurus,1
1999,Python reticulatus,1
1999,Rangaeris muscicola,1
1999,Rebutia mentosa,1
1999,Renanthera philippinensis,1
1999,Renanthera spp.,1
1999,Restrepia antennifera,1
1999,Rhyncholaelia glauca,1
1999,Rhynchostele maculata,1
1999,Rodriguezia granadensis,1
1999,Rossioglossum schlieperianum,1
1999,Rudolfiella picta,1
1999,Sarcoglyphis spp.,1
1999,Satyrium spp.,1
1999,Scaphosepalum gibberosum,1
1999,Schlimmia jasminodora,1
1999,Schlumbergera x buckleyi,1
1999,Schomburgkia crispa,1
1999,Sclerocactus warnockii,1
1999,Scolymia vitiensis,1
1999,Sedirea japonica,1
1999,Sigmatostalix graminea,1
1999,Sigmatostalix racemifera,1
1999,Sigmatostalix spp.,1
1999,Smaug mossambicus,1
1999,Sobennikoffia robusta,1
1999,Sobralia spp.,1
1999,Sophronitis acuensis,1
1999,Sophronitis coccinea,1
1999,Sophronitis mantiqueirae,1
1999,Spermophaga haematina,1
1999,Stanhopea candida,1
1999,Stanhopea gibbosa,1
1999,Stanhopea platyceras,1
1999,Strix nebulosa,1
1999,Struthio camelus,1
1999,Stylophora pistillata,1
1999,Tauraco erythrolophus,1
1999,Tauraco livingstonii,1
1999,Tauraco porphyreolophus,1
1999,Telipogon spp.,1
1999,Threskiornis aethiopicus,1
1999,Torgos tracheliotus,1
1999,Tragelaphus eurycerus,1
1999,Trichoglossus haematodus,1
1999,Trichopilia hennisiana,1
1999,Trichopilia spp.,1
