scientific_name,TermTotalTrade,term
Buteo swainsoni,2,live
Cacatua alba,2,specimens
Cacatua galerita,2,bodies
Cactaceae spp.,2,chips
Cactaceae spp.,2,graft rootstocks
Caiman crocodilus,2,carvings
Caiman crocodilus,2,meat
Caiman crocodilus,2,skin scraps
Caiman crocodilus crocodilus,2,meat
Caiman crocodilus fuscus,2,skulls
Caiman crocodilus yacare,2,tails
Caiman spp.,2,skins
Cairina moschata,2,derivatives
Calanthe argenteostriata,2,live
Calanthe aristulifera,2,roots
Calanthe reflexa,2,roots
Calanthe repens,2,live
Calanthe spp.,2,specimens
Calanthe striata,2,roots
Calanthe sylvatica,2,roots
Callicebus brunneus,2,specimens
Callicebus cupreus,2,live
Callicebus moloch,2,live
Callicebus torquatus,2,live
Callithrix pygmaea,2,bodies
Callocephalon fimbriatum,2,specimens
Caloenas nicobarica,2,bodies
Calumma cucullatum,2,live
Calumma gastrotaenia,2,specimens
Calumma nasutum,2,bodies
Calyptorhynchus banksii,2,feathers
Camelus bactrianus,2,live
Candoia aspera,2,bodies
Candoia carinata,2,bodies
Candoia spp.,2,live
Canis lupus,2,hair
Canis lupus,2,meat
Canis lupus,2,skeletons
Canis lupus,2,unspecified
Caracara plancus,2,feathers
Carcharhinus falciformis,2,fins
Carcharodon carcharias,2,bones
Caretta caretta,2,bodies
Carnegiea gigantea,2,stems
Carnegiea gigantea,2,timber
Caryophyllia spp.,2,specimens
Catalaphyllia plicata,2,live
Catasetum confusum,2,live
Catasetum galeritum,2,live
Catasetum hookeri,2,live
Catasetum pulchrum,2,live
Catasetum schmidtianum,2,live
Catasetum tuberculatum,2,live
Catopuma temminckii,2,garments
Cattleya guatemalensis,2,live
Cattleya milleri,2,live
Cattleya schofeldiana,2,live
Cebus apella,2,skins
Cebus apella,2,skulls
Cebus apella,2,specimens
Cedrela odorata,2,logs
Cedrela spp.,2,sawn wood
Cephalanthera spp.,2,live
Cephalophus dorsalis,2,hair
Cephalophus dorsalis,2,specimens
Cephalophus ogilbyi,2,trophies
Cephalophus silvicultor,2,skins
Ceratostylis radiata,2,live
Ceratotherium simum simum,2,bones
Ceratozamia kuesteriana,2,live
Cerberus rynchops,2,bodies
Cercopithecus hamlyni,2,live
Cercopithecus lhoesti,2,live
Cercopithecus nictitans,2,specimens
Cercopithecus spp.,2,skulls
Ceropegia africana,2,live
Ceropegia dimorpha,2,live
Cervus elaphus bactrianus,2,live
Cervus elaphus bactrianus,2,specimens
Cervus eldii,2,live
Cetacea spp.,2,bone pieces
Cetacea spp.,2,ivory carvings
Cetacea spp.,2,skeletons
Cetacea spp.,2,skins
Chamaeangis spp.,2,live
Chamaeangis vesicata,2,live
Chamaeleo dilepis,2,bodies
Chamaeleo dilepis,2,specimens
Charina bottae,2,specimens
Chelodina mccordi,2,live
Chelonia mydas,2,scales
Chelonia mydas,2,skulls
Chelonia mydas,2,unspecified
Chelonistele spp.,2,live
Chelonoidis niger,2,specimens
Chersina angulata,2,shells
Chiloschista javanica,2,live
Chinchilla spp.,2,live
Chlamydotis undulata,2,specimens
Chlorocebus aethiops,2,derivatives
Chlorocebus pygerythrus,2,skin pieces
Chlorostilbon mellisugus,2,specimens
Chondrorhyncha hybrid,2,live
Chrysalidocarpus lutescens,2,flowers
Chrysuronia oenone,2,bodies
Chrysuronia oenone,2,specimens
Chusua spp.,2,live
Chysis bractescens,2,dried plants
Cipocereus minensis,2,live
Circaetus beaudouini,2,bodies
Circus aeruginosus,2,bodies
Circus cyaneus,2,bodies
Circus cyaneus,2,specimens
Cirrhopetalum hybrid,2,live
Cistanche deserticola,2,extract
Civettictis civetta,2,specimens
Cladopsammia gracilis,2,live
Cleisocentron gokusingii,2,live
Cleisocentron merrillianum,2,live
Cleisomeria spp.,2,live
Cleisostoma comberi,2,live
Cleisostoma rostratum,2,live
Cleistocactus brookeae,2,live
Coelia spp.,2,live
Coeligena torquata,2,specimens
Coeligena violifer,2,specimens
Coelogyne barbata,2,unspecified
Coelogyne beccarii,2,live
Coelogyne chloroptera,2,live
Coelogyne confusa,2,live
Coelogyne flexuosa,2,live
Coelogyne huettneriana,2,live
Coelogyne longipes,2,live
Coelogyne miniata,2,live
Coelogyne radicosa,2,live
Coelogyne radioferens,2,live
Coelogyne schilleriana,2,live
Coelogyne testacea,2,live
Coelogyne zurowetzii,2,live
Colibri thalassinus,2,bodies
Colobus angolensis,2,specimens
Colobus polykomos,2,bodies
Colobus polykomos,2,live
Colobus polykomos,2,skins
Colobus spp.,2,skins
Comparettia hybrid,2,live
Condylago spp.,2,live
Conepatus humboldtii,2,plates
Conolophus subcristatus,2,specimens
Constantia cristinae,2,live
Copiapoa dealbata,2,live
Copiapoa esmeraldana,2,live
Copiapoa serpentisulcata,2,live
Coracopsis nigra,2,specimens
Coracopsis spp.,2,live
Corallium secundum,2,garments
Corallus annulatus,2,live
Corryocactus brevistylus,2,live
Corryocactus brevistylus,2,stems
Coryanthes elegantium,2,live
Coryanthes hybrid,2,live
Coryphantha longicornis,2,live
Coryphantha maiz-tablasensis,2,live
Coryphantha retusa,2,live
Crocodylia spp.,2,leather items
Crocodylia spp.,2,shoes
Crocodylidae spp.,2,bodies
Crocodylidae spp.,2,garments
Crocodylidae spp.,2,unspecified
Crocodylus acutus,2,live
Crocodylus acutus,2,specimens
Crocodylus cataphractus,2,live
Crocodylus johnstoni,2,leather items
Crocodylus johnstoni,2,live
Crocodylus johnstoni,2,specimens
Crocodylus mindorensis,2,live
Crocodylus mindorensis,2,specimens
Crocodylus moreletii,2,bodies
Crocodylus moreletii,2,live
Crocodylus niloticus,2,eggs
Crocodylus novaeguineae,2,bodies
Crocodylus rhombifer,2,live
Crocodylus siamensis,2,derivatives
Crocodylus spp.,2,heads
Crocodylus spp.,2,teeth
Crowea spp.,2,flowers
Cryptarrhena spp.,2,live
Cryptoprocta ferox,2,specimens
Cryptopus spp.,2,live
Ctenactis spp.,2,live
Cuniculus paca,2,specimens
Cuora amboinensis,2,specimens
Cyanoptila cyanomelana,2,live
Cyanoramphus malherbi,2,live
Cyathea arborea,2,live
Cyathea spp.,2,leaves
Cyatheaceae spp.,2,derivatives
Cyatheaceae spp.,2,fibres
Cyatheaceae spp.,2,specimens
Cycas calcicola,2,live
Cycas furfuracea,2,live
Cycas media media,2,live
Cyclamen europaeum,2,medicine
Cyclamen graecum,2,roots
Cyclamen persicum,2,flowers
Cyclamen purpurascens,2,extract
Cyclamen repandum,2,live
Cyclopogon hennisianus,2,live
Cyclura nubila,2,specimens
Cyclura ricordi,2,specimens
Cycnoches maculatum,2,live
Cycnoches warszewiczii,2,live
Cylindropuntia cholla,2,carvings
Cylindropuntia fulgida,2,carvings
Cylindropuntia kleiniae,2,live
Cylindropuntia spp.,2,live
Cylindropuntia whipplei,2,live
Cymbidium chloranthum,2,live
Cymbidium goeringii,2,roots
Cymbidium hartinahianum,2,live
Cymbidium parishii,2,live
Cynorkis spp.,2,dried plants
Cyphostemma elephantopus,2,live
Cyphostemma laza,2,live
Cypripedium arietinum,2,roots
Cypripedium guttatum,2,live
Cypripedium japonicum,2,dried plants
Cyrtochilum aureum,2,live
Cyrtochilum falcipetalum,2,live
Cyrtochilum geniculatum,2,live
Cyrtochilum pardinum,2,live
Cyrtochilum ramosissimum,2,live
Cyrtochilum xanthodon,2,live
Dactylorhiza maculata,2,live
Dactylorhiza majalis,2,live
Dalbergia baronii,2,veneer
Dalbergia decipularis,2,carvings
Dalbergia hybrid,2,wood product
Dalbergia melanoxylon,2,sawn wood
Dalbergia melanoxylon,2,timber pieces
Dalbergia spruceana,2,sawn wood
Dalbergia stevensonii,2,logs
Dama dama mesopotamica,2,live
Damophila julie,2,live
Delphinapterus leucas,2,bones
Delphinus spp.,2,bones
Macropodanthus spp.,2,live
Macrozamia fawcettii,2,live
Macrozamia macdonnellii,2,live
Macrozamia riedlei,2,stems
Madracis spp.,2,live
Maihuenia spp.,2,live
Maihueniopsis ovata,2,live
Malaxis acuminata,2,live
Malayemys subtrijuga,2,specimens
Malleola seidenfadenii,2,live
Mammillaria barbata,2,live
Mammillaria beneckei,2,live
Mammillaria brandegeei,2,live
Mammillaria capensis,2,live
Mammillaria eichlamii,2,live
Mammillaria guillauminiana,2,live
Mammillaria insularis,2,live
Mammillaria mercadensis,2,live
Mammillaria sanchez-mejoradae,2,live
Mammillaria spp.,2,seeds
Mammillaria tayloriorum,2,live
Mammillaria tetrancistra,2,live
Mammillaria uncinata,2,live
Manis crassicaudata,2,skins
Manis javanica,2,bodies
Manis spp.,2,leather items
Manis spp.,2,leather products (small)
Manis spp.,2,shoes
Manis spp.,2,skin pieces
Manta birostris,2,specimens
Mantella aurantiaca,2,bodies
Mantella baroni,2,bodies
Mantella betsileo,2,specimens
Mantella cowanii,2,live
Mantella spp.,2,bodies
Masdevallia barlaeana,2,live
Masdevallia berthae,2,live
Masdevallia calosiphon,2,live
Masdevallia chaetostoma,2,live
Masdevallia cleistogama,2,live
Masdevallia garciae,2,live
Masdevallia goliath,2,live
Masdevallia guayanensis,2,live
Masdevallia kyphonantha,2,live
Masdevallia lappifera,2,live
Masdevallia lata,2,live
Masdevallia leonii,2,live
Masdevallia lynniana,2,live
Masdevallia manoloi,2,live
Masdevallia mataxa,2,live
Masdevallia melanoglossa,2,live
Masdevallia melanopus,2,live
Masdevallia meleagris,2,live
Masdevallia menatoi,2,live
Masdevallia mentosa,2,live
Masdevallia merinoi,2,live
Masdevallia microsiphon,2,live
Masdevallia mystica,2,live
Masdevallia norae,2,live
Masdevallia notosibirica,2,live
Masdevallia oreas,2,live
Masdevallia os-draconis,2,live
Masdevallia pachyantha,2,live
Masdevallia pachysepala,2,live
Masdevallia paiva姣沘na,2,live
Masdevallia papillosa,2,live
Masdevallia plantaginea,2,live
Masdevallia prolixa,2,live
Masdevallia pulcherrima,2,live
Masdevallia sanctae-fidei,2,live
Masdevallia scabrilinguis,2,live
Masdevallia scandens,2,live
Masdevallia sceptrum,2,live
Masdevallia schizopetala,2,live
Masdevallia segurae,2,live
Masdevallia spilantha,2,live
Masdevallia spp.,2,dried plants
Masdevallia trautmanniana,2,live
Masdevallia valenciae,2,live
Masdevallia ventricosa,2,live
Masdevallia ximenae,2,live
Matucana formosa,2,live
Mauremys nigricans,2,derivatives
Maxillaria spp.,2,roots
Maxillariella spilotantha,2,live
Maxillariella spp.,2,live
Meandrina maeandrites,2,live
Meandrina spp.,2,raw corals
Melanosuchus niger,2,leather items
Melanosuchus niger,2,skins
Melanosuchus niger,2,specimens
Mellivora capensis,2,bodies
Mellivora capensis,2,specimens
Melocactus glaucescens,2,seeds
Melocactus pachyacanthus,2,live
Melocactus paucispinus,2,live
Melocactus zehntneri,2,live
Mesoplodon grayi,2,skulls
Mesoplodon grayi,2,specimens
Micranthocereus spp.,2,live
Microcebus berthae,2,specimens
Microcebus tavaratra,2,specimens
Microchilus erythrodoides,2,live
Microchilus paleaceus,2,live
Microcoelia gilpinae,2,live
Microcoelia globulosa,2,live
Micropera pallida,2,live
Micropsitta finschii,2,specimens
Microterangis hildebrandtii,2,live
Microterangis spp.,2,live
Micrurus nigrocinctus,2,specimens
Millepora exaesa,2,live
Millepora platyphylla,2,raw corals
Millepora spp.,2,carvings
Millepora spp.,2,specimens
Millepora tenera,2,raw corals
Milleporidae spp.,2,live
Miltonia spp.,2,cultures
Miltonioides leucomelas,2,live
Milvus migrans,2,specimens
Mirounga leonina,2,teeth
Mobilabium hamatum,2,live
Monodon monoceros,2,ivory pieces
Montastrea annularis,2,raw corals
Montastrea cavernosa,2,raw corals
Montastrea faveolata,2,specimens
Montipora capricornis,2,raw corals
Montipora digitata,2,raw corals
Montipora hispida,2,live
Montipora mollis,2,raw corals
Montipora palawanensis,2,live
Montipora peltiformis,2,live
Morelia nauta,2,live
Morelia tracyae,2,live
Morelia viridis,2,bodies
Mormodes lineata,2,live
Mormodes warszewiczii,2,live
Mormolyca rufescens,2,live
Moschus chrysogaster,2,derivatives
Moschus moschiferus,2,bodies
Moschus moschiferus,2,skins
Moschus spp.,2,skin pieces
Mussa spp.,2,specimens
Mustela altaica,2,leather products (small)
Mustela sibirica,2,leather items
Mustela sibirica,2,leather products (large)
Mustela sibirica,2,leather products (small)
Mustela sibirica,2,live
Mycetophyllia lamarckiana,2,live
Myoxanthus spp.,2,dried plants
Myrmecophila hybrid,2,live
Myrtillocactus schenckii,2,live
Myrtis fanny,2,specimens
Nactus serpensinsula,2,live
Naemorhedus goral,2,trophies
Naja naja,2,meat
Naja oxiana,2,bodies
Naja samarensis,2,live
Naja spp.,2,bodies
Naja sumatrana,2,live
Nandayus nenday,2,bodies
Nanger dama,2,trophies
Nasalis larvatus,2,specimens
Natator depressus,2,leather products (small)
Neophema chrysogaster,2,specimens
Neowerdermannia spp.,2,live
Neowerdermannia vorwerkii,2,live
Nepenthes alata,2,cultures
Nepenthes spectabilis,2,cultures
Nepenthes vieillardii,2,live
Nervilia aragoana,2,live
Nervilia plicata,2,live
Nesoenas mayeri,2,live
Nesoenas mayeri,2,specimens
Nestor meridionalis,2,feathers
Ninox boobook,2,live
Ninox philippensis,2,specimens
Nitidobulbon nasutum,2,live
Nomascus concolor,2,specimens
Nomascus gabriellae,2,live
Nomascus leucogenys,2,live
Nycticebus coucang,2,bodies
Oberonia cylindrica,2,live
Oberonia dissitiflora,2,live
Oberonia disticha,2,live
Oberonia obesa,2,live
Odocoileus virginianus mayensis,2,skins
Odontoglossum spp.,2,specimens
Oliveriana spp.,2,live
Oncidium angustisepalum,2,live
Oncidium ansiferum,2,live
Oncidium ciliatum,2,live
Oncidium cirrhosum,2,live
Oncidium crista-galli,2,live
Oncidium eliae,2,live
Oncidium hennisii,2,live
Oncidium hintonii,2,live
Oncidium liebmannii,2,live
Oncidium lindleyoides,2,live
Oncidium maduroi,2,live
Oncidium mantense,2,live
Oncidium monachicum,2,live
Oncidium powellii,2,live
Oncidium sceptrum,2,live
Oncidium spp.,2,dried plants
Oncidium uncinatum,2,live
Oophaga granulifera,2,live
Ophiophagus hannah,2,specimens
Opuntia aciculata,2,live
Opuntia aurantiaca,2,live
Opuntia basilaris,2,live
Opuntia chlorotica,2,live
Opuntia cochenillifera,2,extract
Opuntia elata,2,live
Opuntia ficus-indica,2,dried plants
Opuntia monacantha,2,cultures
Opuntia spp.,2,dried plants
Opuntia stenopetala,2,live
Orcaella brevirostris,2,specimens
Orchis mascula,2,live
Oreophasis derbianus,2,live
Oreotrochilus melanogaster,2,live
Ornithocephalus dolabratus,2,live
Ornithocephalus grandiflorus,2,live
Ornithoptera croesus,2,trophies
Ornithoptera goliath,2,specimens
Ornithoptera hybrid,2,bodies
Ornithoptera rothschildi,2,trophies
Ornithoptera tithonus,2,live
Ornithoptera victoriae,2,live
Oroya spp.,2,live
Oryx dammah,2,horns
Oryx leucoryx,2,specimens
Oryx leucoryx,2,trophies
Osteolaemus tetraspis,2,leather products (large)
Osteolaemus tetraspis,2,skins
Osteolaemus tetraspis,2,skulls
Otolemur crassicaudatus,2,bodies
Otolemur crassicaudatus,2,skulls
Otolemur crassicaudatus,2,trophies
Otus bakkamoena,2,bodies
Otus brucei,2,live
Otus ingens,2,specimens
Otus megalotis,2,live
Otus rutilus,2,specimens
Otus watsonii,2,live
Oulophyllia bennettae,2,live
Oulophyllia bennettae,2,raw corals
Ovis canadensis,2,bodies
Ovis canadensis,2,horns
Ovis canadensis,2,skins
Oxypora lacera,2,live
Oxyura leucocephala,2,live
Pachypodium sofiense,2,live
Pachyseris foliosa,2,live
Paguma larvata,2,specimens
Pan troglodytes,2,bodies
Panax quinquefolius,2,live
Panax spp.,2,roots
Pandinus dictator,2,live
Pandinus imperator,2,bodies
Pangasianodon gigas,2,live
Panisea spp.,2,live
Panthera leo,2,derivatives
Panthera leo,2,tails
Panthera onca,2,bones
Panthera onca,2,skulls
Panthera onca,2,teeth
Panthera pardus,2,feet
Panthera pardus,2,hair
Panthera pardus,2,leather products (large)
Panthera pardus,2,tails
Panthera pardus,2,unspecified
Panthera spp.,2,live
Panthera tigris,2,bone carvings
Panthera tigris,2,skin pieces
Panthera tigris,2,unspecified
Panthera tigris altaica,2,specimens
Pantholops hodgsonii,2,cloth
Pantholops hodgsonii,2,garments
Paphiopedilum hybrid,2,cultures
Paphiopedilum praestans,2,live
Paphiopedilum spp.,2,flowers
Papilionanthe vandarum,2,live
Papio anubis,2,derivatives
Papio hamadryas,2,teeth
Papio hybrid,2,specimens
Papio papio,2,specimens
Papio spp.,2,skulls
Papio spp.,2,specimens
Papio ursinus,2,tails
Paradisaea minor,2,bodies
Paradisaea minor,2,specimens
Paradisaea raggiana,2,live
Paradisaea rudolphi,2,feathers
Paradisaeidae spp.,2,feathers
Paradisaeidae spp.,2,specimens
Parapteroceras quisumbingii,2,live
Parapteroceras spp.,2,live
Parnassius apollo,2,bodies
Parodia erinacea,2,live
Parodia neohorstii,2,live
Parodia ritteri,2,live
Pavo cristatus,2,leather products (small)
Pavona clavus,2,raw corals
Pavona spp.,2,carvings
Pavona varians,2,specimens
Pecari tajacu,2,bodies
Pecari tajacu,2,unspecified
Pelecanus crispus,2,live
Pelecyphora spp.,2,live
Pelexia spp.,2,live
Peniocereus spp.,2,live
Pereskia sacharosa,2,live
Pereskia spp.,2,live
Pernis apivorus,2,bodies
Pescatoria coelestis,2,live
Pescatoria klabochorum,2,live
Pfeiffera boliviana,2,stems
Phaethornis stuarti,2,specimens
Phaethornis superciliosus,2,specimens
Phaius flavus,2,live
Phalaenopsis hybrid,2,roots
Phalaenopsis javanica,2,live
Phalaenopsis pulcherrima,2,leaves
Phalanger orientalis,2,live
Phalcoboenus australis,2,live
Pharomachrus mocinno,2,bodies
Phelsuma guttata,2,bodies
Phelsuma kochi,2,specimens
Phelsuma laticauda,2,bodies
Phelsuma lineata,2,specimens
Phelsuma v-nigra,2,live
Philantomba monticola,2,live
Philantomba monticola,2,specimens
Phocoena phocoena,2,teeth
Phocoena sinus,2,specimens
Phocoenoides dalli,2,specimens
Phoenicopteridae spp.,2,feathers
Phoenicopterus chilensis,2,specimens
Phoenicopterus ruber,2,feathers
Phoenicopterus ruber ruber,2,live
Pholidota rubra,2,live
Phragmipedium exstaminodium,2,live
Phragmipedium vittatum,2,live
Phrynosoma coronatum,2,specimens
Phyllobates aurotaenia,2,live
Phyllobates spp.,2,live
Phyllobates terribilis,2,specimens
Phyllomedusa sauvagii,2,live
Physeter macrocephalus,2,bone pieces
Pionites melanocephalus,2,eggs (live)
Pionopsitta caica,2,live
Pionopsitta haematotis,2,live
Pionopsitta pileata,2,live
Pionus spp.,2,live
Pithecia monachus,2,specimens
Pithecia pithecia,2,specimens
Platycercus elegans,2,bodies
Platycercus icterotis,2,bodies
Platycercus venustus,2,specimens
Platygyra lamellina,2,specimens
Platygyra sinensis,2,specimens
Platyrhiza spp.,2,live
Platystele acicularis,2,live
Plectrelminthus caudatus,2,live
Plectrelminthus spp.,2,live
Plectropterus gambensis,2,live
Pleione forrestii,2,live
Pleione grandiflora,2,live
Pleione scopulorum,2,live
Pleione yunnanensis,2,live
Pleurothallis amparoana,2,live
Pleurothallis antonensis,2,live
Pleurothallis barboselloides,2,live
Pleurothallis barbulata,2,live
Pleurothallis perryi,2,live
Pleurothallis portillae,2,live
Pleurothallis resupinata,2,live
Pleurothallis tricarinata,2,live
Pleurothallis tryssa,2,live
Pleurothallis vorator,2,live
Ploceus aurantius,2,live
Ploceus cucullatus,2,bodies
Ploceus cucullatus,2,specimens
Ploceus nigricollis,2,live
Pocillopora eydouxi,2,carvings
Pocillopora verrucosa,2,carvings
Podabacia crustacea,2,live
Podochilus muricatus,2,live
Podocnemis expansa,2,specimens
Poephila cincta,2,live
Poicephalus senegalus,2,skins
Polyodon spathula,2,eggs (live)
Polyphyllia novaehiberniae,2,live
Polyplectron bicalcaratum,2,skins
Polystachya concreta,2,dried plants
Polytmus guainumbi,2,specimens
Ponera striata,2,live
Porites lutea,2,raw corals
Porites porites,2,live
Porroglossum apoloae,2,live
Porroglossum eduardi,2,live
Potamotrygon hybrid,2,live
Potamotrygon leopoldi,2,live
Potamotrygon orbignyi,2,live
Potamotrygon schroederi,2,live
Presbytis spp.,2,specimens
Primates spp.,2,bodies
Primates spp.,2,skulls
Prionailurus bengalensis bengalensis,2,bodies
Prionailurus viverrinus,2,specimens
Pristis zijsron,2,live
Probosciger aterrimus,2,specimens
Prolemur simus,2,specimens
Prosthechea hybrid,2,live
Prunus africana,2,specimens
Pseudocordylus transvaalensis,2,live
Psittacella brehmii,2,specimens
Psittacidae spp.,2,bodies
Psittacidae spp.,2,specimens
Psittacula alexandri,2,bodies
Psittacula calthorpae,2,live
Psittacus erithacus,2,bodies
Psitteuteles versicolor,2,specimens
Psychilis spp.,2,live
Pteridophora alberti,2,feathers
Pterocarpus erinaceus,2,wood product
Pterocarpus santalinus,2,extract
Pterocarpus santalinus,2,sawn wood
Pteroceras leopardinum,2,live
Pteroceras teres,2,live
Pteroceras unguiculatum,2,live
Pteroglossus viridis,2,specimens
Pterophanes cyanopterus,2,specimens
Pteropus conspicillatus,2,specimens
Pteropus rufus,2,specimens
Pteropus spp.,2,carvings
Pteropus vampyrus,2,bodies
Pteropus vampyrus,2,specimens
Ptyas mucosus,2,carvings
Ptyas mucosus,2,unspecified
Pulsatrix melanota,2,live
Puma concolor,2,garments
Punotia lagopus,2,live
Pygathrix nemaeus,2,live
Pyrrhura melanura,2,live
Pyrrhura molinae,2,eggs (live)
Pyrrhura picta,2,bodies
Pyrrhura spp.,2,specimens
Python bivittatus,2,jewellery
Python bivittatus,2,skin scraps
Python molurus,2,specimens
Python regius,2,bodies
Python regius,2,leather items
Python reticulatus,2,gall
Python sebae,2,bodies
Quercus mongolica,2,wood product
Ramphastos dicolorus,2,feathers
Ramphastos toco,2,feathers
Ramphastos vitellinus,2,bodies
Ramphastos vitellinus,2,skins
Ranitomeya flavovittata,2,live
Ranitomeya variabilis,2,eggs
Ranitomeya ventrimaculata,2,specimens
Rauvolfia serpentina,2,roots
Rebutia ritteri,2,live
Reptilia,2,specimens
Restrepia citrina,2,live
Restrepia mohrii,2,live
Restrepia pandurata,2,live
Restrepia tabeae,2,live
Restrepia tsubotae,2,live
Rhacodactylus leachianus,2,live
Rhampholeon spinosus,2,live
Rhea americana,2,bodies
Rhea americana albescens,2,leather items
Rhetinantha divaricata,2,live
Rhinoceros sondaicus,2,specimens
Rhinocerotidae spp.,2,feet
Rhinocerotidae spp.,2,skins
Rhinocerotidae spp.,2,trophies
Rhinoplax vigil,2,carvings
Rhipsalis crispata,2,live
Rhipsalis ewaldiana,2,flowers
Rhipsalis goebeliana,2,live
Rhipsalis mesembryanthoides,2,stems
Rhipsalis oblonga,2,live
Rhipsalis pentaptera,2,live
Rhipsalis pilocarpa,2,flowers
Rhipsalis spp.,2,flowers
Rhynchostele majalis,2,live
Rhyticeros undulatus,2,live
Roezliella wallisii,2,live
Rupicola peruvianus,2,specimens
Saguinus geoffroyi,2,live
Saimiri boliviensis,2,specimens
Saimiri sciureus,2,skulls
Salvator merianae,2,specimens
Sarcochilus moorei,2,live
Sarcoglyphis spp.,2,live
Sarcoramphus papa,2,feathers
Sarcoramphus papa,2,specimens
Sarracenia leucophylla,2,dried plants
Sarracenia rubra alabamensis,2,live
Sarracenia rubra jonesii,2,live
Saundersia spp.,2,live
Saussurea costus,2,oil
Scaphosepalum anchoriferum,2,live
Scaphyglottis sessilis,2,live
Scelochilus chiribogae,2,live
Schistes geoffroyi,2,specimens
Schlumbergera microsphaerica,2,live
Schlumbergera opuntioides,2,live
Schomburgkia lyonsii,2,live
Scleractinia spp.,2,unspecified
Sclerocactus brevihamatus tobuschii,2,live
Sclerocactus glaucus,2,live
Sclerocactus mesae-verdae,2,live
Sclerocactus parviflorus,2,live
Scleropages formosus,2,fingerlings
Scotopelia bouvieri,2,live
Selenicereus grandiflorus,2,dried plants
Selenicereus hamatus,2,live
Selenicereus inermis,2,live
Selenicereus vagans,2,live
Semnopithecus entellus,2,live
Semnopithecus entellus,2,skulls
Senna meridionalis,2,live
Serpentes spp.,2,skins
Sigmatostalix pichinchensis,2,live
Sobralia allenii,2,live
Sobralia helleri,2,live
Sobralia hybrid,2,live
Sobralia portillae,2,live
Solenastrea hyades,2,raw corals
Spathoglottis aurea,2,live
Spathoglottis kimballiana,2,live
Specklinia brighamella,2,live
Specklinia dressleri,2,live
Specklinia furcatipetala,2,live
Specklinia simmleriana,2,live
Sphaeropteris excelsa,2,live
Sphaeropteris horrida,2,live
Spheniscus demersus,2,bodies
Spheniscus humboldti,2,specimens
Sphiggurus mexicanus,2,live
Sphyrna lewini,2,specimens
Spilocuscus maculatus,2,leather products (small)
Spilocuscus maculatus,2,live
Spilocuscus maculatus,2,skins
Spilornis cheela,2,live
Spiranthes sinensis,2,live
Stangeria eriopus,2,seeds
Stanhopea hernandezii,2,live
Stanhopea martiana,2,live
Stanhopea warszewicziana,2,live
Stelis concinna,2,live
Stelis fornicata,2,live
Stelis majorella,2,live
Stelis pilosa,2,live
Stenocereus fimbriatus,2,live
Stenorrhynchos spp.,2,live
Stephanoaetus coronatus,2,feathers
Stephanocereus spp.,2,live
Stephanophyllia complicata,2,specimens
Stereochilus pachyphyllus,2,live
Sternbergia spp.,2,live
Stigmochelys pardalis,2,shells
Streptopelia semitorquata,2,trophies
Streptopelia senegalensis,2,skins
Streptopelia senegalensis,2,trophies
Strigidae spp.,2,feathers
Strix aluco,2,skeletons
Strix nebulosa,2,bodies
Strix nebulosa,2,eggs
Strix varia,2,specimens
Struthio camelus,2,garments
Summerhayesia laurentii,2,live
Swietenia humilis,2,sawn wood
Swietenia macrophylla,2,specimens
Swietenia mahagoni,2,carvings
Swietenia mahagoni,2,veneer
Swietenia spp.,2,furniture
Symphalangus syndactylus,2,specimens
Symphyllia radians,2,live
Syrmaticus mikado,2,bodies
Systeloglossum ecuadorense,2,live
Tapirus bairdii,2,live
Tauraco corythaix,2,bodies
Tauraco corythaix,2,live
Tauraco leucolophus,2,bodies
Tauraco porphyreolophus,2,skins
Tauraco porphyreolophus,2,trophies
Tauraco schalowi,2,live
Taxus chinensis,2,derivatives
Taxus chinensis,2,specimens
Taxus hybrid,2,dried plants
Taxus hybrid,2,roots
Tayassu pecari,2,leather items
Tayassu pecari,2,skulls
Tayassu pecari,2,teeth
Tayassu pecari,2,unspecified
Tayassu spp.,2,skins
Teagueia spp.,2,live
Telipogon costaricensis,2,live
Telipogon parvulus,2,live
Telipogon spp.,2,dried plants
Telipogon spp.,2,specimens
Tephrocactus alexanderi,2,live
Tephrocactus verschaffeltii,2,live
Teratoscincus microlepis,2,live
Testudines spp.,2,carapaces
Testudines spp.,2,derivatives
Testudinidae spp.,2,bodies
Testudinidae spp.,2,meat
Testudinidae spp.,2,shells
Testudinidae spp.,2,unspecified
Testudo graeca,2,carapaces
Testudo graeca,2,trophies
Testudo hermanni,2,carvings
Tetramicra canaliculata,2,live
Tetramicra spp.,2,live
Thelasis spp.,2,live
Thelymitra spp.,2,roots
Threnetes ruckeri,2,specimens
Threskiornis aethiopicus,2,bodies
Threskiornis aethiopicus,2,skulls
Ticoglossum krameri,2,live
Tiliqua scincoides,2,live
Tillandsia hybrid,2,live
Tillandsia kautskyi,2,live
Tipularia spp.,2,live
Trachypithecus auratus,2,live
Tragelaphus spekii,2,live
Trichechus senegalensis,2,live
Trichocentrum caloceras,2,live
Trichocentrum hybrid,2,live
Trichocentrum nudum,2,live
Trichocentrum pfavii,2,live
Trichoglossus haematodus,2,bodies
Trichoglossus haematodus,2,eggs (live)
Trichoglossus johnstoniae,2,live
Trichoglottis retusa,2,live
Trichopilia gracilis,2,live
Trichopilia peruviana,2,live
Tridacna derasa,2,meat
