scientific_name,TermTotalTrade,term
Estrilda melpoda,197,live
Loxodonta africana,196,ears
Aloe arborescens,196,live
Python curtus,196,live
Varanus salvator,196,skin pieces
Varanus dumerilii,195,live
Pocillopora spp.,195,raw corals
Cacatua moluccensis,194,live
Caiman crocodilus crocodilus,191,skin pieces
Panthera leo,190,skulls
Rhipsalis spp.,190,live
Trioceros melleri,190,live
Stenocereus dumortieri,189,live
Gracula religiosa,189,live
Leiopython albertisii,188,live
Amazona auropalliata,187,live
Trachyphyllia geoffroyi,185,raw corals
Acanthophyllia deshayesiana,184,live
Acipenser baerii,184,meat
Echinopsis chamaecereus,184,live
Espostoa spp.,184,live
Euphorbia tirucalli,184,live
Gymnocalycium baldianum,184,live
Eunectes murinus,183,live
Cleistocactus spp.,183,live
Nepenthes alata,183,live
Polyphyllia spp.,183,raw corals
Pecari tajacu,182,skins
Phelsuma quadriocellata,182,live
Pilosocereus gounellei,182,live
Acipenser baerii,182,derivatives
Porites lichen,181,live
Mammillaria bocasana,180,live
Testudo graeca,180,live
Aloe ferox,180,live
Alveopora spongiosa,180,live
Crocodylus porosus,180,garments
Cerberus rynchops,179,shoes
Acanthocereus tetragonus,178,live
Rebutia spp.,178,live
Echinocactus texensis,178,live
Ovis canadensis,177,trophies
Chamaeleo gracilis,177,live
Testudo hermanni,177,live
Ornithoptera goliath,176,bodies
Ptyas mucosus,175,leather products (large)
Euphorbia abyssinica,175,live
Macaca mulatta,175,live
Acropora valida,175,live
Cattleya intermedia,174,live
Echinopsis ancistrophora,174,live
Opuntia microdasys,173,live
Pionus menstruus,173,live
Crocodylus siamensis,173,meat
Melocactus azureus,172,live
Papio anubis,172,trophies
Polytelis swainsonii,172,live
Sarracenia hybrid,171,live
Ferocactus spp.,170,live
Kinyongia fischeri,170,live
Euphorbia ingens,169,live
Pecari tajacu,169,shoes
Crocodylus porosus,169,meat
Chelonoidis denticulatus,168,live
Crocodylus porosus,168,skin pieces
Gymnocalycium anisitsii,168,live
Dendrobium chrysotoxum,167,live
Phelsuma laticauda,167,live
Aquilaria crassna,166,chips
Chlorocebus aethiops,166,trophies
Daboia russelii,166,extract
Trichocentrum spp.,166,live
Favites spp.,166,raw corals
Elephas maximus,165,carvings
Estrilda troglodytes,165,live
Galaxea spp.,165,raw corals
Cymbidium ensifolium,165,live
Phelsuma lineata,165,live
Salvator merianae,164,skins
Barnardius zonarius,164,live
Cyclamen hederifolium,164,live
Acanthastrea echinata,162,live
Civettictis civetta,162,trophies
Tridacna derasa,162,live
Zamiaceae spp.,161,live
Mammillaria nivosa,161,live
Eunectes notaeus,161,leather products (large)
Aloe ferox,161,derivatives
Catalaphyllia jardinei,161,raw corals
Salvator rufescens,160,skin pieces
Prionailurus bengalensis,159,garments
Rhynchostylis coelestis,159,live
Tupinambis spp.,159,shoes
Haliaeetus leucocephalus,159,feathers
Huso huso,158,caviar
Kefersteinia spp.,158,live
Python bivittatus,158,leather items
