year,name,trade_count
2000,Philantomba monticola,14
2000,Platygyra spp.,14
2000,Saussurea costus,14
2000,Aprosmictus erythropterus,13
2000,Carnegiea spp.,13
2000,Cephalophus silvicultor,13
2000,Corallus caninus,13
2000,Corallus hortulanus,13
2000,Damaliscus pygargus pygargus,13
2000,Espostoa lanata,13
2000,Ferocactus gracilis,13
2000,Gracula religiosa,13
2000,Lagonosticta senegala,13
2000,Lycalopex griseus,13
2000,Lynx rufus,13
2000,Mammillaria hahniana,13
2000,Mammillaria magnimamma,13
2000,Mammillaria pringlei,13
2000,Parodia horstii,13
2000,Parodia microsperma,13
2000,Pilosocereus chrysacanthus,13
2000,Pilosocereus magnificus,13
2000,Ploceus cucullatus,13
2000,Turbinicarpus schmiedickeanus,13
2000,Cacatua goffiniana,12
2000,Candoia carinata,12
2000,Cyclamen coum,12
2000,Dendrobium bigibbum,12
2000,Dendrobium secundum,12
2000,Echinopsis backebergii,12
2000,Eunectes notaeus,12
2000,Falco peregrinus,12
2000,Favia spp.,12
2000,Ferocactus hamatacanthus,12
2000,Galanthus nivalis,12
2000,Hydnophora microconos,12
2000,Mammillaria haageana,12
2000,Mammillaria microhelia,12
2000,Mammillaria nivosa,12
2000,Mammillaria parkinsonii,12
2000,Mammilloydia candida,12
2000,Montipora spp.,12
2000,Ornithoptera goliath,12
2000,Papio anubis,12
2000,Parodia crassigibba,12
2000,Pocillopora verrucosa,12
2000,Seriatopora spp.,12
2000,Stenocereus thurberi,12
2000,Acipenser spp.,11
2000,Aloe greatheadii,11
2000,Cattleya amethystoglossa,11
2000,Cattleya maxima,11
2000,Cereus repandus,11
2000,Civettictis civetta,11
2000,Crocodylia spp.,11
2000,Cyanoliseus patagonus,11
2000,Cynarina spp.,11
2000,Dendrobium nobile,11
2000,Euplectes orix,11
2000,Gymnocalycium bruchii,11
2000,Heliopora coerulea,11
2000,Hirudo medicinalis,11
2000,Mammillaria longiflora,11
2000,Mammillaria zeilmanniana,11
2000,Montastrea valenciennesi,11
2000,Naja sputatrix,11
2000,Pilosocereus chrysostele,11
2000,Polytelis swainsonii,11
2000,Rebutia steinbachii,11
2000,Scolymia spp.,11
2000,Varanus rudicollis,11
2000,Vidua chalybeata,11
2000,Alisterus amboinensis,10
2000,Anas acuta,10
2000,Anodorhynchus hyacinthinus,10
2000,Aratinga acuticaudata,10
2000,Athene cunicularia,10
2000,Balaenoptera physalus,10
2000,Bubo capensis,10
2000,Cereus spp.,10
2000,Dendrobium bellatulum,10
2000,Dendrobium primulinum,10
2000,Echinopsis terscheckii,10
2000,Encephalartos horridus,10
2000,Gymnocalycium denudatum,10
2000,Mammillaria karwinskiana,10
2000,Morelia spilota,10
2000,Neophema pulchella,10
2000,Odontoglossum spp.,10
2000,Pachycereus marginatus,10
2000,Pionites melanocephalus,10
2000,Porites lobata,10
2000,Porites lutea,10
2000,Psephotus haematonotus,10
2000,Stylophora pistillata,10
2000,Symphyllia spp.,10
2000,Varanus dumerilii,10
2000,Acipenser ruthenus,9
2000,Acrochordus javanicus,9
2000,Amazona autumnalis,9
2000,Antaresia childreni,9
2000,Antipathes densa,9
2000,Aratinga erythrogenys,9
2000,Asio otus,9
2000,Brassia caudata,9
2000,Bubo africanus,9
2000,Cattleya lawrenceana,9
2000,Cebus olivaceus,9
2000,Chamaeleo gracilis,9
2000,Chysis bractescens,9
2000,Cochleanthes amazonica,9
2000,Dendrobium pendulum,9
2000,Dicksonia antarctica,9
2000,Eulychnia acida,9
2000,Hippocampus spp.,9
2000,Lonchura cantans,9
